Amp training started. 2016-07-18T15:57:45

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 45 images.
Hashing images...
 45 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [2, 4]
Initial weights already present.
Initial scalings already present.
Calculating atomic fingerprints...
 Saved fingerprints file networks/fingerprints.db loaded with 45 entries. 0.0 min.
 Calculating 0 of 45 fingerprints (45 exist in file).
 ...all fingerprint operations complete. 0.0 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file networks/db=eos0/4-4/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-18T15:57:45  2.242e+01    7.058e-01
    1        2016-07-18T15:57:45  1.393e+05    5.563e+01
    2        2016-07-18T15:57:45  9.081e+02    4.492e+00
    3        2016-07-18T15:57:45  1.784e+02    1.991e+00
    4        2016-07-18T15:57:45  1.852e+01    6.416e-01
    5        2016-07-18T15:57:45  1.965e+01    6.609e-01
    6        2016-07-18T15:57:45  1.715e+01    6.174e-01
    7        2016-07-18T15:57:46  1.462e+01    5.699e-01
    8        2016-07-18T15:57:46  1.163e+01    5.085e-01
    9        2016-07-18T15:57:46  1.757e+02    1.976e+00
   10        2016-07-18T15:57:46  1.100e+01    4.944e-01
   11        2016-07-18T15:57:46  1.179e+01    5.119e-01
   12        2016-07-18T15:57:46  1.041e+01    4.811e-01
   13        2016-07-18T15:57:46  1.339e+01    5.455e-01
   14        2016-07-18T15:57:46  9.831e+00    4.674e-01
   15        2016-07-18T15:57:46  8.524e+00    4.352e-01
   16        2016-07-18T15:57:46  2.133e+01    6.884e-01
   17        2016-07-18T15:57:46  8.109e+00    4.245e-01
   18        2016-07-18T15:57:46  7.767e+00    4.155e-01
   19        2016-07-18T15:57:46  1.277e+01    5.328e-01
   20        2016-07-18T15:57:46  7.413e+00    4.059e-01
   21        2016-07-18T15:57:46  1.924e+01    6.538e-01
   22        2016-07-18T15:57:46  7.202e+00    4.001e-01
   23        2016-07-18T15:57:46  6.815e+00    3.892e-01
   24        2016-07-18T15:57:46  6.004e+00    3.653e-01
   25        2016-07-18T15:57:46  8.812e+00    4.425e-01
   26        2016-07-18T15:57:46  5.129e+00    3.376e-01
   27        2016-07-18T15:57:46  2.069e+01    6.780e-01
   28        2016-07-18T15:57:46  4.872e+00    3.290e-01
   29        2016-07-18T15:57:46  4.389e+00    3.123e-01
   30        2016-07-18T15:57:46  3.632e+00    2.841e-01
   31        2016-07-18T15:57:46  5.903e+00    3.622e-01
   32        2016-07-18T15:57:46  3.295e+00    2.706e-01
   33        2016-07-18T15:57:47  2.627e+00    2.416e-01
   34        2016-07-18T15:57:47  2.974e+00    2.571e-01
   35        2016-07-18T15:57:47  2.153e+00    2.187e-01
   36        2016-07-18T15:57:47  1.942e+00    2.077e-01
   37        2016-07-18T15:57:47  1.820e+00    2.011e-01
   38        2016-07-18T15:57:47  1.475e+00    1.810e-01
   39        2016-07-18T15:57:47  1.133e+00    1.587e-01
   40        2016-07-18T15:57:47  6.267e-01    1.180e-01
   41        2016-07-18T15:57:47  5.148e-01    1.070e-01
   42        2016-07-18T15:57:47  3.142e-01    8.356e-02
   43        2016-07-18T15:57:47  2.636e-01    7.653e-02
   44        2016-07-18T15:57:47  1.376e-01    5.529e-02
   45        2016-07-18T15:57:47  7.934e-01    1.328e-01
   46        2016-07-18T15:57:47  1.038e-01    4.803e-02
   47        2016-07-18T15:57:47  7.521e-02    4.088e-02
   48        2016-07-18T15:57:47  7.730e-02    4.145e-02
   49        2016-07-18T15:57:47  5.856e-02    3.608e-02
   50        2016-07-18T15:57:47  5.534e-02    3.507e-02
   51        2016-07-18T15:57:47  4.996e-02    3.332e-02
   52        2016-07-18T15:57:47  4.628e-02    3.207e-02
   53        2016-07-18T15:57:47  4.123e-02    3.027e-02
   54        2016-07-18T15:57:47  3.498e-02    2.788e-02
   55        2016-07-18T15:57:47  2.784e-02    2.487e-02
   56        2016-07-18T15:57:47  4.708e-02    3.235e-02
   57        2016-07-18T15:57:47  2.444e-02    2.331e-02
   58        2016-07-18T15:57:47  1.947e-02    2.080e-02
   59        2016-07-18T15:57:48  2.739e-02    2.467e-02
   60        2016-07-18T15:57:48  1.739e-02    1.966e-02
   61        2016-07-18T15:57:48  1.585e-02    1.877e-02
   62        2016-07-18T15:57:48  1.598e-02    1.884e-02
