Amp training started. 2016-07-29T14:16:32

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [2, 2, 2]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-MCGd6n.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/2-2-2/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/2-2-2/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-29T14:17:02  4.457e+01    4.318e-01
    1        2016-07-29T14:17:02  3.058e+06    1.131e+02
    2        2016-07-29T14:17:02  1.095e+02    6.768e-01
    3        2016-07-29T14:17:03  2.537e+01    3.258e-01
    4        2016-07-29T14:17:03  1.639e+01    2.619e-01
    5        2016-07-29T14:17:03  3.299e+00    1.175e-01
    6        2016-07-29T14:17:03  3.585e+01    3.873e-01
    7        2016-07-29T14:17:04  2.827e+00    1.088e-01
    8        2016-07-29T14:17:04  4.664e+00    1.397e-01
    9        2016-07-29T14:17:04  2.660e+00    1.055e-01
   10        2016-07-29T14:17:04  2.559e+00    1.035e-01
   11        2016-07-29T14:17:04  2.387e+00    9.995e-02
   12        2016-07-29T14:17:05  2.196e+00    9.585e-02
   13        2016-07-29T14:17:05  2.010e+00    9.171e-02
   14        2016-07-29T14:17:05  1.885e+00    8.882e-02
   15        2016-07-29T14:17:05  1.583e+00    8.137e-02
   16        2016-07-29T14:17:06  8.303e+00    1.864e-01
   17        2016-07-29T14:17:06  1.531e+00    8.003e-02
   18        2016-07-29T14:17:06  1.454e+00    7.800e-02
   19        2016-07-29T14:17:06  1.301e+00    7.378e-02
   20        2016-07-29T14:17:06  1.889e+00    8.891e-02
   21        2016-07-29T14:17:06  1.165e+00    6.982e-02
   22        2016-07-29T14:17:07  1.482e+00    7.875e-02
   23        2016-07-29T14:17:07  1.028e+00    6.559e-02
   24        2016-07-29T14:17:07  8.059e-01    5.807e-02
   25        2016-07-29T14:17:07  2.779e+00    1.078e-01
   26        2016-07-29T14:17:08  7.349e-01    5.545e-02
   27        2016-07-29T14:17:08  7.052e-01    5.432e-02
   28        2016-07-29T14:17:08  6.526e-01    5.225e-02
   29        2016-07-29T14:17:08  5.688e-01    4.879e-02
   30        2016-07-29T14:17:08  7.416e-01    5.570e-02
   31        2016-07-29T14:17:09  5.343e-01    4.728e-02
   32        2016-07-29T14:17:09  5.029e-01    4.587e-02
   33        2016-07-29T14:17:09  5.086e-01    4.613e-02
   34        2016-07-29T14:17:09  4.838e-01    4.499e-02
   35        2016-07-29T14:17:09  4.578e-01    4.377e-02
   36        2016-07-29T14:17:10  4.208e-01    4.196e-02
   37        2016-07-29T14:17:10  3.838e-01    4.007e-02
   38        2016-07-29T14:17:10  3.853e-01    4.015e-02
   39        2016-07-29T14:17:10  3.583e-01    3.872e-02
   40        2016-07-29T14:17:10  4.176e-01    4.180e-02
   41        2016-07-29T14:17:11  3.505e-01    3.830e-02
   42        2016-07-29T14:17:11  3.424e-01    3.785e-02
   43        2016-07-29T14:17:11  3.454e-01    3.802e-02
   44        2016-07-29T14:17:11  3.380e-01    3.761e-02
   45        2016-07-29T14:17:11  3.347e-01    3.742e-02
   46        2016-07-29T14:17:12  3.329e-01    3.732e-02
   47        2016-07-29T14:17:12  3.318e-01    3.726e-02
   48        2016-07-29T14:17:12  3.313e-01    3.723e-02
   49        2016-07-29T14:17:13  3.306e-01    3.719e-02
   50        2016-07-29T14:17:13  3.297e-01    3.714e-02
   51        2016-07-29T14:17:13  3.281e-01    3.705e-02
   52        2016-07-29T14:17:13  3.253e-01    3.689e-02
   53        2016-07-29T14:17:13  3.218e-01    3.669e-02
   54        2016-07-29T14:17:14  3.210e-01    3.665e-02
   55        2016-07-29T14:17:14  3.218e-01    3.670e-02
   56        2016-07-29T14:17:14  3.208e-01    3.664e-02
   57        2016-07-29T14:17:14  3.205e-01    3.662e-02
   58        2016-07-29T14:17:15  3.199e-01    3.659e-02
   59        2016-07-29T14:17:15  3.188e-01    3.652e-02
