Amp training started. 2016-07-29T13:50:22

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [2, 2]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-FTkaY9.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/2-2/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/2-2/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-29T13:50:53  4.116e+01    4.150e-01
    1        2016-07-29T13:50:53  2.666e+06    1.056e+02
    2        2016-07-29T13:50:53  3.838e+01    4.007e-01
    3        2016-07-29T13:50:54  3.312e+01    3.723e-01
    4        2016-07-29T13:50:54  2.608e+01    3.303e-01
    5        2016-07-29T13:50:54  5.932e+01    4.982e-01
    6        2016-07-29T13:50:54  2.601e+01    3.299e-01
    7        2016-07-29T13:50:54  2.585e+01    3.289e-01
    8        2016-07-29T13:50:54  2.460e+01    3.208e-01
    9        2016-07-29T13:50:55  1.155e+01    2.198e-01
   10        2016-07-29T13:50:55  1.189e+03    2.231e+00
   11        2016-07-29T13:50:55  8.159e+00    1.848e-01
   12        2016-07-29T13:50:55  7.836e+00    1.811e-01
   13        2016-07-29T13:50:55  2.839e+04    1.090e+01
   14        2016-07-29T13:50:55  7.818e+00    1.809e-01
   15        2016-07-29T13:50:56  7.779e+00    1.804e-01
   16        2016-07-29T13:50:56  7.596e+00    1.783e-01
   17        2016-07-29T13:50:56  6.360e+00    1.631e-01
   18        2016-07-29T13:50:56  2.594e+01    3.294e-01
   19        2016-07-29T13:50:57  4.940e+00    1.438e-01
   20        2016-07-29T13:50:57  4.448e+00    1.364e-01
   21        2016-07-29T13:50:57  4.370e+00    1.352e-01
   22        2016-07-29T13:50:57  4.485e+02    1.370e+00
   23        2016-07-29T13:50:57  4.330e+00    1.346e-01
   24        2016-07-29T13:50:58  4.250e+00    1.334e-01
   25        2016-07-29T13:50:58  3.993e+00    1.293e-01
   26        2016-07-29T13:50:58  3.419e+00    1.196e-01
   27        2016-07-29T13:50:58  2.480e+00    1.019e-01
   28        2016-07-29T13:50:58  6.934e+00    1.703e-01
   29        2016-07-29T13:50:59  2.130e+00    9.441e-02
   30        2016-07-29T13:50:59  1.600e+00    8.183e-02
   31        2016-07-29T13:50:59  2.061e+00    9.287e-02
   32        2016-07-29T13:50:59  1.415e+00    7.695e-02
   33        2016-07-29T13:50:59  1.161e+00    6.971e-02
   34        2016-07-29T13:51:00  1.176e+00    7.015e-02
   35        2016-07-29T13:51:00  1.039e+00    6.595e-02
   36        2016-07-29T13:51:00  8.832e-01    6.079e-02
   37        2016-07-29T13:51:00  8.262e-01    5.880e-02
   38        2016-07-29T13:51:01  7.496e-01    5.600e-02
   39        2016-07-29T13:51:01  6.974e-01    5.402e-02
   40        2016-07-29T13:51:01  6.310e-01    5.138e-02
   41        2016-07-29T13:51:01  5.847e-01    4.946e-02
   42        2016-07-29T13:51:01  5.826e-01    4.937e-02
   43        2016-07-29T13:51:02  6.120e-01    5.060e-02
   44        2016-07-29T13:51:02  5.509e-01    4.801e-02
   45        2016-07-29T13:51:02  5.090e-01    4.615e-02
   46        2016-07-29T13:51:02  4.856e-01    4.508e-02
   47        2016-07-29T13:51:03  4.712e-01    4.440e-02
   48        2016-07-29T13:51:03  4.439e-01    4.309e-02
   49        2016-07-29T13:51:03  4.042e-01    4.112e-02
   50        2016-07-29T13:51:03  3.870e-01    4.024e-02
   51        2016-07-29T13:51:03  3.596e-01    3.879e-02
   52        2016-07-29T13:51:03  3.569e-01    3.864e-02
   53        2016-07-29T13:51:04  3.435e-01    3.791e-02
   54        2016-07-29T13:51:04  3.221e-01    3.671e-02
   55        2016-07-29T13:51:04  3.081e-01    3.591e-02
   56        2016-07-29T13:51:04  2.981e-01    3.532e-02
   57        2016-07-29T13:51:04  2.951e-01    3.514e-02
   58        2016-07-29T13:51:05  2.928e-01    3.500e-02
   59        2016-07-29T13:51:05  2.892e-01    3.479e-02
