Amp training started. 2016-07-29T14:22:24

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [3, 3, 3]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-UyHPMC.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/3-3-3/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/3-3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-29T14:22:54  3.822e+01    3.999e-01
    1        2016-07-29T14:22:54  2.711e+06    1.065e+02
    2        2016-07-29T14:22:55  3.432e+01    3.789e-01
    3        2016-07-29T14:22:55  2.709e+01    3.367e-01
    4        2016-07-29T14:22:55  1.924e+02    8.973e-01
    5        2016-07-29T14:22:55  2.641e+01    3.324e-01
    6        2016-07-29T14:22:56  2.710e+01    3.367e-01
    7        2016-07-29T14:22:56  2.609e+01    3.304e-01
    8        2016-07-29T14:22:56  2.459e+01    3.207e-01
    9        2016-07-29T14:22:56  9.701e+00    2.015e-01
   10        2016-07-29T14:22:56  3.804e+02    1.262e+00
   11        2016-07-29T14:22:57  9.151e+00    1.957e-01
   12        2016-07-29T14:22:57  7.697e+00    1.795e-01
   13        2016-07-29T14:22:57  2.322e+02    9.857e-01
   14        2016-07-29T14:22:57  3.814e+02    1.263e+00
   15        2016-07-29T14:22:57  7.663e+00    1.791e-01
   16        2016-07-29T14:22:58  7.359e+00    1.755e-01
   17        2016-07-29T14:22:58  6.392e+00    1.635e-01
   18        2016-07-29T14:22:58  8.494e+01    5.962e-01
   19        2016-07-29T14:22:58  5.350e+00    1.496e-01
   20        2016-07-29T14:22:58  4.713e+00    1.404e-01
   21        2016-07-29T14:22:58  3.397e+02    1.192e+00
   22        2016-07-29T14:22:59  4.698e+00    1.402e-01
   23        2016-07-29T14:22:59  4.668e+00    1.397e-01
   24        2016-07-29T14:22:59  4.531e+00    1.377e-01
   25        2016-07-29T14:22:59  3.828e+00    1.266e-01
   26        2016-07-29T14:22:59  4.346e+01    4.264e-01
   27        2016-07-29T14:23:00  3.534e+00    1.216e-01
   28        2016-07-29T14:23:00  1.494e+02    7.906e-01
   29        2016-07-29T14:23:00  3.518e+00    1.213e-01
   30        2016-07-29T14:23:00  3.486e+00    1.208e-01
   31        2016-07-29T14:23:00  3.361e+00    1.186e-01
   32        2016-07-29T14:23:01  2.948e+00    1.111e-01
   33        2016-07-29T14:23:01  3.536e+00    1.216e-01
   34        2016-07-29T14:23:01  2.576e+00    1.038e-01
   35        2016-07-29T14:23:01  4.157e+00    1.319e-01
   36        2016-07-29T14:23:01  2.453e+00    1.013e-01
   37        2016-07-29T14:23:02  2.229e+00    9.657e-02
   38        2016-07-29T14:23:02  1.974e+00    9.088e-02
   39        2016-07-29T14:23:02  1.545e+00    8.040e-02
   40        2016-07-29T14:23:02  2.700e+00    1.063e-01
   41        2016-07-29T14:23:03  1.436e+00    7.751e-02
   42        2016-07-29T14:23:03  1.281e+00    7.320e-02
   43        2016-07-29T14:23:03  1.006e+00    6.487e-02
   44        2016-07-29T14:23:03  5.844e-01    4.945e-02
   45        2016-07-29T14:23:03  5.617e+00    1.533e-01
   46        2016-07-29T14:23:04  5.580e-01    4.832e-02
   47        2016-07-29T14:23:04  6.575e-01    5.245e-02
   48        2016-07-29T14:23:04  5.522e-01    4.807e-02
   49        2016-07-29T14:23:04  5.407e-01    4.756e-02
   50        2016-07-29T14:23:05  4.987e-01    4.568e-02
   51        2016-07-29T14:23:05  4.197e-01    4.191e-02
   52        2016-07-29T14:23:05  6.355e-01    5.156e-02
   53        2016-07-29T14:23:05  3.957e-01    4.069e-02
   54        2016-07-29T14:23:05  3.656e-01    3.911e-02
   55        2016-07-29T14:23:06  3.256e-01    3.691e-02
   56        2016-07-29T14:23:06  2.764e-01    3.401e-02
   57        2016-07-29T14:23:06  2.297e-01    3.100e-02
   58        2016-07-29T14:23:06  3.837e-01    4.007e-02
   59        2016-07-29T14:23:07  2.148e-01    2.998e-02
