Amp training started. 2016-07-29T14:09:51

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [3, 3]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-FmMCZF.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/3-3/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-29T14:10:21  3.587e+01    3.874e-01
    1        2016-07-29T14:10:21  2.703e+06    1.063e+02
    2        2016-07-29T14:10:21  3.343e+01    3.740e-01
    3        2016-07-29T14:10:22  2.895e+01    3.480e-01
    4        2016-07-29T14:10:22  2.210e+01    3.041e-01
    5        2016-07-29T14:10:22  7.967e+00    1.826e-01
    6        2016-07-29T14:10:22  3.329e+01    3.732e-01
    7        2016-07-29T14:10:23  5.510e+00    1.518e-01
    8        2016-07-29T14:10:23  3.515e+01    3.835e-01
    9        2016-07-29T14:10:23  4.269e+00    1.336e-01
   10        2016-07-29T14:10:23  1.491e+01    2.497e-01
   11        2016-07-29T14:10:23  3.907e+00    1.279e-01
   12        2016-07-29T14:10:24  3.239e+00    1.164e-01
   13        2016-07-29T14:10:24  2.134e+00    9.448e-02
   14        2016-07-29T14:10:24  2.517e+00    1.026e-01
   15        2016-07-29T14:10:24  1.514e+00    7.959e-02
   16        2016-07-29T14:10:24  1.340e+00    7.487e-02
   17        2016-07-29T14:10:25  1.108e+00    6.810e-02
   18        2016-07-29T14:10:25  6.018e-01    5.018e-02
   19        2016-07-29T14:10:25  9.274e-01    6.229e-02
   20        2016-07-29T14:10:25  5.195e-01    4.662e-02
   21        2016-07-29T14:10:26  5.250e-01    4.687e-02
   22        2016-07-29T14:10:26  4.557e-01    4.367e-02
   23        2016-07-29T14:10:26  2.164e+00    9.515e-02
   24        2016-07-29T14:10:26  4.476e-01    4.328e-02
   25        2016-07-29T14:10:26  4.330e-01    4.256e-02
   26        2016-07-29T14:10:26  4.089e-01    4.136e-02
   27        2016-07-29T14:10:27  3.855e-01    4.016e-02
   28        2016-07-29T14:10:27  3.908e-01    4.044e-02
   29        2016-07-29T14:10:27  3.804e-01    3.990e-02
   30        2016-07-29T14:10:27  3.714e-01    3.942e-02
   31        2016-07-29T14:10:27  3.556e-01    3.857e-02
   32        2016-07-29T14:10:28  3.385e-01    3.763e-02
   33        2016-07-29T14:10:28  3.412e-01    3.778e-02
   34        2016-07-29T14:10:28  3.287e-01    3.709e-02
   35        2016-07-29T14:10:28  3.121e-01    3.614e-02
   36        2016-07-29T14:10:29  2.831e-01    3.442e-02
   37        2016-07-29T14:10:29  3.097e-01    3.600e-02
   38        2016-07-29T14:10:29  2.649e-01    3.329e-02
   39        2016-07-29T14:10:29  2.422e-01    3.183e-02
   40        2016-07-29T14:10:29  2.259e-01    3.074e-02
   41        2016-07-29T14:10:30  2.043e-01    2.924e-02
   42        2016-07-29T14:10:30  2.287e-01    3.093e-02
   43        2016-07-29T14:10:30  1.944e-01    2.852e-02
   44        2016-07-29T14:10:30  1.816e-01    2.756e-02
   45        2016-07-29T14:10:31  1.710e-01    2.675e-02
   46        2016-07-29T14:10:31  1.646e-01    2.624e-02
   47        2016-07-29T14:10:31  1.573e-01    2.565e-02
   48        2016-07-29T14:10:31  1.536e-01    2.535e-02
   49        2016-07-29T14:10:31  1.500e-01    2.506e-02
   50        2016-07-29T14:10:32  1.485e-01    2.493e-02
   51        2016-07-29T14:10:32  1.461e-01    2.472e-02
   52        2016-07-29T14:10:32  1.430e-01    2.446e-02
   53        2016-07-29T14:10:32  1.427e-01    2.444e-02
   54        2016-07-29T14:10:32  1.414e-01    2.433e-02
   55        2016-07-29T14:10:32  1.389e-01    2.411e-02
   56        2016-07-29T14:10:33  1.353e-01    2.379e-02
   57        2016-07-29T14:10:33  1.320e-01    2.350e-02
   58        2016-07-29T14:10:33  1.293e-01    2.326e-02
   59        2016-07-29T14:10:33  1.262e-01    2.298e-02
