Amp training started. 2016-07-29T14:41:06

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [1, 1]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-J05VYk.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/generic1/2-2-2/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/generic1/2-2-2/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-29T14:41:36  3.075e+01    3.587e-01
    1        2016-07-29T14:41:37  2.401e+06    1.002e+02
    2        2016-07-29T14:41:37  5.869e+01    4.956e-01
    3        2016-07-29T14:41:37  1.966e+01    2.868e-01
    4        2016-07-29T14:41:37  5.767e+00    1.553e-01
    5        2016-07-29T14:41:37  3.719e+01    3.945e-01
    6        2016-07-29T14:41:37  1.441e+00    7.765e-02
    7        2016-07-29T14:41:37  2.181e+01    3.021e-01
    8        2016-07-29T14:41:37  1.407e+00    7.673e-02
    9        2016-07-29T14:41:37  1.347e+00    7.507e-02
   10        2016-07-29T14:41:38  1.236e+00    7.191e-02
   11        2016-07-29T14:41:38  1.036e+00    6.585e-02
   12        2016-07-29T14:41:38  7.174e-01    5.479e-02
   13        2016-07-29T14:41:38  5.671e+00    1.540e-01
   14        2016-07-29T14:41:38  6.205e-01    5.095e-02
   15        2016-07-29T14:41:38  5.126e-01    4.631e-02
   16        2016-07-29T14:41:38  8.296e-01    5.892e-02
   17        2016-07-29T14:41:38  4.670e-01    4.420e-02
   18        2016-07-29T14:41:38  4.530e-01    4.354e-02
   19        2016-07-29T14:41:39  4.349e-01    4.266e-02
   20        2016-07-29T14:41:39  4.313e-01    4.248e-02
   21        2016-07-29T14:41:39  4.253e-01    4.219e-02
   22        2016-07-29T14:41:39  4.162e-01    4.173e-02
   23        2016-07-29T14:41:39  4.124e-01    4.154e-02
   24        2016-07-29T14:41:39  4.111e-01    4.148e-02
   25        2016-07-29T14:41:39  4.032e-01    4.107e-02
   26        2016-07-29T14:41:39  3.898e-01    4.039e-02
   27        2016-07-29T14:41:40  3.680e-01    3.924e-02
   28        2016-07-29T14:41:40  3.387e-01    3.764e-02
   29        2016-07-29T14:41:40  3.679e-01    3.924e-02
   30        2016-07-29T14:41:40  3.292e-01    3.711e-02
   31        2016-07-29T14:41:40  3.232e-01    3.677e-02
   32        2016-07-29T14:41:40  3.207e-01    3.663e-02
   33        2016-07-29T14:41:40  3.187e-01    3.652e-02
   34        2016-07-29T14:41:40  3.151e-01    3.631e-02
   35        2016-07-29T14:41:40  3.089e-01    3.595e-02
   36        2016-07-29T14:41:41  2.994e-01    3.539e-02
   37        2016-07-29T14:41:41  2.870e-01    3.465e-02
   38        2016-07-29T14:41:41  2.725e-01    3.377e-02
   39        2016-07-29T14:41:41  3.101e-01    3.602e-02
   40        2016-07-29T14:41:41  2.665e-01    3.339e-02
   41        2016-07-29T14:41:41  2.607e-01    3.302e-02
   42        2016-07-29T14:41:41  2.507e-01    3.239e-02
   43        2016-07-29T14:41:41  2.319e-01    3.115e-02
   44        2016-07-29T14:41:41  2.000e-01    2.893e-02
   45        2016-07-29T14:41:42  1.743e-01    2.701e-02
   46        2016-07-29T14:41:42  2.042e-01    2.923e-02
   47        2016-07-29T14:41:42  1.617e-01    2.601e-02
   48        2016-07-29T14:41:42  1.586e-01    2.576e-02
   49        2016-07-29T14:41:42  1.565e-01    2.559e-02
   50        2016-07-29T14:41:42  1.541e-01    2.539e-02
   51        2016-07-29T14:41:42  1.512e-01    2.515e-02
   52        2016-07-29T14:41:42  1.475e-01    2.484e-02
   53        2016-07-29T14:41:42  1.483e-01    2.491e-02
   54        2016-07-29T14:41:43  1.467e-01    2.477e-02
   55        2016-07-29T14:41:43  1.455e-01    2.468e-02
   56        2016-07-29T14:41:43  1.446e-01    2.459e-02
   57        2016-07-29T14:41:43  1.429e-01    2.445e-02
   58        2016-07-29T14:41:43  1.402e-01    2.422e-02
   59        2016-07-29T14:41:43  1.361e-01    2.386e-02
