Amp training started. 2016-07-29T14:27:09

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [1, 1]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-LM6kOs.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/generic1/2-2/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/generic1/2-2/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-29T14:27:39  3.678e+01    3.923e-01
    1        2016-07-29T14:27:39  2.736e+06    1.070e+02
    2        2016-07-29T14:27:39  3.216e+01    3.668e-01
    3        2016-07-29T14:27:39  2.524e+01    3.250e-01
    4        2016-07-29T14:27:39  2.583e+01    3.287e-01
    5        2016-07-29T14:27:40  2.109e+01    2.971e-01
    6        2016-07-29T14:27:40  1.138e+01    2.182e-01
    7        2016-07-29T14:27:40  7.848e+01    5.730e-01
    8        2016-07-29T14:27:40  6.246e+00    1.617e-01
    9        2016-07-29T14:27:40  1.380e+01    2.403e-01
   10        2016-07-29T14:27:40  3.286e+00    1.173e-01
   11        2016-07-29T14:27:40  1.079e+01    2.125e-01
   12        2016-07-29T14:27:40  2.590e+00    1.041e-01
   13        2016-07-29T14:27:41  2.549e+00    1.033e-01
   14        2016-07-29T14:27:41  2.478e+00    1.018e-01
   15        2016-07-29T14:27:41  2.360e+00    9.936e-02
   16        2016-07-29T14:27:41  2.195e+00    9.583e-02
   17        2016-07-29T14:27:41  2.132e+00    9.444e-02
   18        2016-07-29T14:27:41  2.076e+00    9.321e-02
   19        2016-07-29T14:27:41  2.100e+00    9.375e-02
   20        2016-07-29T14:27:41  2.036e+00    9.231e-02
   21        2016-07-29T14:27:41  1.964e+00    9.065e-02
   22        2016-07-29T14:27:42  1.853e+00    8.806e-02
   23        2016-07-29T14:27:42  1.690e+00    8.408e-02
   24        2016-07-29T14:27:42  1.458e+00    7.810e-02
   25        2016-07-29T14:27:42  1.141e+00    6.908e-02
   26        2016-07-29T14:27:42  9.663e-01    6.358e-02
   27        2016-07-29T14:27:42  9.108e-01    6.173e-02
   28        2016-07-29T14:27:42  8.270e-01    5.882e-02
   29        2016-07-29T14:27:42  7.958e-01    5.770e-02
   30        2016-07-29T14:27:43  7.883e-01    5.743e-02
   31        2016-07-29T14:27:43  7.858e-01    5.734e-02
   32        2016-07-29T14:27:43  7.826e-01    5.722e-02
   33        2016-07-29T14:27:43  7.815e-01    5.718e-02
   34        2016-07-29T14:27:43  7.803e-01    5.714e-02
   35        2016-07-29T14:27:43  7.783e-01    5.707e-02
   36        2016-07-29T14:27:43  7.747e-01    5.693e-02
   37        2016-07-29T14:27:43  7.684e-01    5.670e-02
   38        2016-07-29T14:27:43  7.572e-01    5.629e-02
   39        2016-07-29T14:27:44  7.412e-01    5.569e-02
   40        2016-07-29T14:27:44  7.301e-01    5.527e-02
   41        2016-07-29T14:27:44  7.131e-01    5.462e-02
   42        2016-07-29T14:27:44  6.835e-01    5.348e-02
   43        2016-07-29T14:27:44  6.559e-01    5.239e-02
   44        2016-07-29T14:27:44  6.253e-01    5.115e-02
   45        2016-07-29T14:27:44  6.202e-01    5.094e-02
   46        2016-07-29T14:27:44  6.159e-01    5.076e-02
   47        2016-07-29T14:27:45  6.127e-01    5.063e-02
   48        2016-07-29T14:27:45  6.106e-01    5.055e-02
   49        2016-07-29T14:27:45  6.086e-01    5.046e-02
   50        2016-07-29T14:27:45  6.047e-01    5.030e-02
   51        2016-07-29T14:27:45  5.974e-01    4.999e-02
   52        2016-07-29T14:27:45  5.854e-01    4.949e-02
   53        2016-07-29T14:27:45  5.844e-01    4.945e-02
   54        2016-07-29T14:27:45  5.785e-01    4.920e-02
   55        2016-07-29T14:27:46  5.672e-01    4.872e-02
   56        2016-07-29T14:27:46  5.497e-01    4.796e-02
   57        2016-07-29T14:27:46  5.294e-01    4.706e-02
   58        2016-07-29T14:27:46  5.502e-01    4.798e-02
   59        2016-07-29T14:27:46  5.250e-01    4.687e-02
