Amp training started. 2016-07-29T14:43:15

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [1, 1]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-EvAm91.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/generic1/3-3-3/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/generic1/3-3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-29T14:43:45  4.562e+01    4.369e-01
    1        2016-07-29T14:43:46  2.156e+06    9.499e+01
    2        2016-07-29T14:43:46  3.058e+02    1.131e+00
    3        2016-07-29T14:43:46  3.255e+01    3.690e-01
    4        2016-07-29T14:43:46  2.047e+01    2.927e-01
    5        2016-07-29T14:43:46  4.046e+00    1.301e-01
    6        2016-07-29T14:43:46  3.436e+01    3.791e-01
    7        2016-07-29T14:43:46  3.020e+00    1.124e-01
    8        2016-07-29T14:43:46  2.541e+00    1.031e-01
    9        2016-07-29T14:43:47  1.834e+00    8.761e-02
   10        2016-07-29T14:43:47  1.369e+00    7.568e-02
   11        2016-07-29T14:43:47  1.596e+00    8.173e-02
   12        2016-07-29T14:43:47  1.112e+00    6.820e-02
   13        2016-07-29T14:43:47  2.408e+00    1.004e-01
   14        2016-07-29T14:43:47  1.017e+00    6.523e-02
   15        2016-07-29T14:43:47  9.001e-01    6.137e-02
   16        2016-07-29T14:43:48  7.934e-01    5.762e-02
   17        2016-07-29T14:43:48  1.326e+00    7.450e-02
   18        2016-07-29T14:43:48  7.592e-01    5.636e-02
   19        2016-07-29T14:43:48  7.198e-01    5.488e-02
   20        2016-07-29T14:43:48  6.711e-01    5.299e-02
   21        2016-07-29T14:43:48  8.612e-01    6.003e-02
   22        2016-07-29T14:43:48  6.600e-01    5.255e-02
   23        2016-07-29T14:43:49  6.409e-01    5.179e-02
   24        2016-07-29T14:43:49  6.169e-01    5.081e-02
   25        2016-07-29T14:43:49  5.921e-01    4.977e-02
   26        2016-07-29T14:43:49  5.937e-01    4.984e-02
   27        2016-07-29T14:43:49  5.846e-01    4.946e-02
   28        2016-07-29T14:43:49  5.796e-01    4.925e-02
   29        2016-07-29T14:43:49  5.715e-01    4.890e-02
   30        2016-07-29T14:43:49  5.603e-01    4.842e-02
   31        2016-07-29T14:43:50  5.456e-01    4.778e-02
   32        2016-07-29T14:43:50  5.195e-01    4.662e-02
   33        2016-07-29T14:43:50  4.813e-01    4.488e-02
   34        2016-07-29T14:43:50  4.718e-01    4.443e-02
   35        2016-07-29T14:43:50  4.657e-01    4.414e-02
   36        2016-07-29T14:43:50  4.618e-01    4.396e-02
   37        2016-07-29T14:43:50  4.553e-01    4.365e-02
   38        2016-07-29T14:43:51  4.446e-01    4.313e-02
   39        2016-07-29T14:43:51  4.307e-01    4.245e-02
   40        2016-07-29T14:43:51  4.180e-01    4.182e-02
   41        2016-07-29T14:43:51  4.002e-01    4.092e-02
   42        2016-07-29T14:43:51  3.913e-01    4.046e-02
   43        2016-07-29T14:43:51  3.846e-01    4.011e-02
   44        2016-07-29T14:43:51  3.755e-01    3.964e-02
   45        2016-07-29T14:43:52  3.619e-01    3.892e-02
   46        2016-07-29T14:43:52  3.437e-01    3.792e-02
   47        2016-07-29T14:43:52  3.349e-01    3.743e-02
   48        2016-07-29T14:43:52  3.234e-01    3.679e-02
   49        2016-07-29T14:43:52  3.143e-01    3.626e-02
   50        2016-07-29T14:43:52  3.076e-01    3.587e-02
   51        2016-07-29T14:43:52  2.982e-01    3.532e-02
   52        2016-07-29T14:43:53  2.848e-01    3.452e-02
   53        2016-07-29T14:43:53  2.657e-01    3.334e-02
   54        2016-07-29T14:43:53  2.605e-01    3.302e-02
   55        2016-07-29T14:43:53  2.509e-01    3.240e-02
   56        2016-07-29T14:43:53  2.388e-01    3.161e-02
   57        2016-07-29T14:43:53  2.316e-01    3.113e-02
   58        2016-07-29T14:43:53  2.226e-01    3.052e-02
   59        2016-07-29T14:43:54  2.129e-01    2.985e-02
