Amp training started. 2016-07-29T14:34:58

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [1, 1]
Initializing with random weights.
Initializing with random scalings.
Calculating atomic fingerprints...
No saved fingerprint file found.
 Calculating 239 of 239 fingerprints (0 exist in file).
  Processor 0 calculations stored in file /tmp/fp-cyhkYR.db.
 Calculated 239 new images. 0.5 min.
 Reading calculated fingerprints...
 ...child fingerprints read and saved to scripts/2016-07-28/generic1/3-3/fingerprints.db. 0.0 min.
 ...all fingerprint operations complete. 0.5 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/generic1/3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-29T14:35:28  3.800e+01    3.988e-01
    1        2016-07-29T14:35:28  2.727e+06    1.068e+02
    2        2016-07-29T14:35:28  2.996e+01    3.541e-01
    3        2016-07-29T14:35:28  8.047e+01    5.802e-01
    4        2016-07-29T14:35:28  2.677e+01    3.347e-01
    5        2016-07-29T14:35:28  8.503e+01    5.965e-01
    6        2016-07-29T14:35:29  2.631e+01    3.318e-01
    7        2016-07-29T14:35:29  2.531e+01    3.254e-01
    8        2016-07-29T14:35:29  2.814e+01    3.431e-01
    9        2016-07-29T14:35:29  2.447e+01    3.200e-01
   10        2016-07-29T14:35:29  1.149e+01    2.193e-01
   11        2016-07-29T14:35:29  8.080e+02    1.839e+00
   12        2016-07-29T14:35:29  9.251e+00    1.967e-01
   13        2016-07-29T14:35:29  6.093e+00    1.597e-01
   14        2016-07-29T14:35:29  7.555e+03    5.622e+00
   15        2016-07-29T14:35:30  6.010e+00    1.586e-01
   16        2016-07-29T14:35:30  5.829e+00    1.562e-01
   17        2016-07-29T14:35:30  5.125e+00    1.464e-01
   18        2016-07-29T14:35:30  1.473e+01    2.482e-01
   19        2016-07-29T14:35:30  4.958e+00    1.440e-01
   20        2016-07-29T14:35:30  4.630e+00    1.392e-01
   21        2016-07-29T14:35:30  3.527e+00    1.215e-01
   22        2016-07-29T14:35:30  2.645e+00    1.052e-01
   23        2016-07-29T14:35:30  2.511e+00    1.025e-01
   24        2016-07-29T14:35:31  9.790e-01    6.400e-02
   25        2016-07-29T14:35:31  5.199e-01    4.664e-02
   26        2016-07-29T14:35:31  5.185e-01    4.658e-02
   27        2016-07-29T14:35:31  5.157e-01    4.645e-02
   28        2016-07-29T14:35:31  5.046e-01    4.595e-02
   29        2016-07-29T14:35:31  4.653e-01    4.412e-02
   30        2016-07-29T14:35:31  3.948e-01    4.065e-02
   31        2016-07-29T14:35:31  3.672e-01    3.920e-02
   32        2016-07-29T14:35:32  3.726e-01    3.948e-02
   33        2016-07-29T14:35:32  3.475e-01    3.813e-02
   34        2016-07-29T14:35:32  3.268e-01    3.698e-02
   35        2016-07-29T14:35:32  3.134e-01    3.621e-02
   36        2016-07-29T14:35:32  2.995e-01    3.540e-02
   37        2016-07-29T14:35:32  2.827e-01    3.439e-02
   38        2016-07-29T14:35:32  2.674e-01    3.345e-02
   39        2016-07-29T14:35:32  2.584e-01    3.288e-02
   40        2016-07-29T14:35:32  2.596e-01    3.296e-02
   41        2016-07-29T14:35:33  2.525e-01    3.250e-02
   42        2016-07-29T14:35:33  2.426e-01    3.186e-02
   43        2016-07-29T14:35:33  2.260e-01    3.075e-02
   44        2016-07-29T14:35:33  2.041e-01    2.922e-02
   45        2016-07-29T14:35:33  1.969e-01    2.871e-02
   46        2016-07-29T14:35:33  1.895e-01    2.816e-02
   47        2016-07-29T14:35:33  1.872e-01    2.799e-02
   48        2016-07-29T14:35:33  1.868e-01    2.795e-02
   49        2016-07-29T14:35:33  1.863e-01    2.792e-02
   50        2016-07-29T14:35:34  1.857e-01    2.787e-02
   51        2016-07-29T14:35:34  1.846e-01    2.779e-02
   52        2016-07-29T14:35:34  1.828e-01    2.765e-02
   53        2016-07-29T14:35:34  1.802e-01    2.746e-02
   54        2016-07-29T14:35:34  1.779e-01    2.728e-02
   55        2016-07-29T14:35:34  1.761e-01    2.714e-02
   56        2016-07-29T14:35:34  1.757e-01    2.711e-02
   57        2016-07-29T14:35:34  1.752e-01    2.708e-02
   58        2016-07-29T14:35:34  1.744e-01    2.702e-02
   59        2016-07-29T14:35:35  1.729e-01    2.689e-02
