Amp training started. 2016-07-29T16:13:30

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [1, 1]
Initial weights already present.
Initial scalings already present.
Calculating atomic fingerprints...
 Saved fingerprints file scripts/2016-07-28/generic2/2-2/fingerprints.db loaded with 239 entries. 0.0 min.
 Calculating 0 of 239 fingerprints (239 exist in file).
 ...all fingerprint operations complete. 0.0 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/generic2/2-2/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-29T16:13:31  1.755e+01    2.710e-01
    1        2016-07-29T16:13:31  9.998e+04    2.045e+01
    2        2016-07-29T16:13:31  1.667e+01    2.641e-01
    3        2016-07-29T16:13:31  1.487e+01    2.494e-01
    4        2016-07-29T16:13:31  8.125e+00    1.844e-01
    5        2016-07-29T16:13:31  1.303e+01    2.335e-01
    6        2016-07-29T16:13:32  3.646e+00    1.235e-01
    7        2016-07-29T16:13:32  2.893e+00    1.100e-01
    8        2016-07-29T16:13:32  4.600e+00    1.387e-01
    9        2016-07-29T16:13:32  2.808e+00    1.084e-01
   10        2016-07-29T16:13:32  2.654e+00    1.054e-01
   11        2016-07-29T16:13:32  2.376e+00    9.971e-02
   12        2016-07-29T16:13:32  2.620e+00    1.047e-01
   13        2016-07-29T16:13:32  2.259e+00    9.721e-02
   14        2016-07-29T16:13:32  2.111e+00    9.399e-02
   15        2016-07-29T16:13:33  1.862e+00    8.826e-02
   16        2016-07-29T16:13:33  5.044e+01    4.594e-01
   17        2016-07-29T16:13:33  1.598e+00    8.177e-02
   18        2016-07-29T16:13:33  1.193e+00    7.066e-02
   19        2016-07-29T16:13:33  3.577e+00    1.223e-01
   20        2016-07-29T16:13:33  1.004e+00    6.483e-02
   21        2016-07-29T16:13:33  7.893e-01    5.747e-02
   22        2016-07-29T16:13:33  7.485e-01    5.596e-02
   23        2016-07-29T16:13:34  6.933e-01    5.386e-02
   24        2016-07-29T16:13:34  6.406e-01    5.177e-02
   25        2016-07-29T16:13:34  6.005e-01    5.013e-02
   26        2016-07-29T16:13:34  5.748e-01    4.904e-02
   27        2016-07-29T16:13:34  5.470e-01    4.784e-02
   28        2016-07-29T16:13:34  5.318e-01    4.717e-02
   29        2016-07-29T16:13:34  5.191e-01    4.660e-02
   30        2016-07-29T16:13:34  5.033e-01    4.589e-02
   31        2016-07-29T16:13:34  4.829e-01    4.495e-02
   32        2016-07-29T16:13:35  4.576e-01    4.376e-02
   33        2016-07-29T16:13:35  4.356e-01    4.269e-02
   34        2016-07-29T16:13:35  4.586e-01    4.380e-02
   35        2016-07-29T16:13:35  4.248e-01    4.216e-02
   36        2016-07-29T16:13:35  4.084e-01    4.134e-02
   37        2016-07-29T16:13:35  3.883e-01    4.031e-02
   38        2016-07-29T16:13:35  3.848e-01    4.012e-02
   39        2016-07-29T16:13:35  3.793e-01    3.984e-02
   40        2016-07-29T16:13:36  3.640e-01    3.902e-02
   41        2016-07-29T16:13:36  3.489e-01    3.821e-02
   42        2016-07-29T16:13:36  3.412e-01    3.778e-02
   43        2016-07-29T16:13:36  3.316e-01    3.725e-02
   44        2016-07-29T16:13:36  3.276e-01    3.703e-02
   45        2016-07-29T16:13:36  3.232e-01    3.677e-02
   46        2016-07-29T16:13:36  3.166e-01    3.640e-02
   47        2016-07-29T16:13:36  3.057e-01    3.576e-02
   48        2016-07-29T16:13:36  3.359e-01    3.749e-02
   49        2016-07-29T16:13:37  3.016e-01    3.552e-02
   50        2016-07-29T16:13:37  2.949e-01    3.513e-02
   51        2016-07-29T16:13:37  2.866e-01    3.463e-02
   52        2016-07-29T16:13:37  2.807e-01    3.427e-02
   53        2016-07-29T16:13:37  2.699e-01    3.361e-02
   54        2016-07-29T16:13:37  2.573e-01    3.281e-02
   55        2016-07-29T16:13:37  2.408e-01    3.174e-02
   56        2016-07-29T16:13:37  2.192e-01    3.028e-02
   57        2016-07-29T16:13:38  1.864e-01    2.792e-02
   58        2016-07-29T16:13:38  1.832e-01    2.769e-02
   59        2016-07-29T16:13:38  1.772e-01    2.723e-02
   60        2016-07-29T16:13:38  1.674e-01    2.646e-02
   61        2016-07-29T16:13:38  1.767e-01    2.719e-02
