Amp training started. 2016-07-29T16:15:54

Local environment descriptor: Behler
Regression: NeuralNetwork

Parallel processing over 1 cores.

Training on 239 images.
Hashing images...
 239 unique images after hashing.
 ...hashing completed. 0.0 min.
1 unique elements included: C
Symmetry functions for each element:
  C: 8
Hidden-layer structure:
  C: [1, 1]
Initial weights already present.
Initial scalings already present.
Calculating atomic fingerprints...
 Saved fingerprints file scripts/2016-07-28/generic2/3-3-3/fingerprints.db loaded with 239 entries. 0.0 min.
 Calculating 0 of 239 fingerprints (239 exist in file).
 ...all fingerprint operations complete. 0.0 min.
Re-shaping images data to send to fortran90...
 ...data re-shaped. 0.0 min.
Initial parameters saved in file scripts/2016-07-28/generic2/3-3-3/initial-parameters.json.

Starting optimization of cost function...
 Energy goal: 1.000e-03
 No force training.
Step              Time               Cost     RMS (Energy
                                    Function    per Atom)
                                                 Error
=====  ==========================  =========  ==========
    0        2016-07-29T16:15:55  2.796e+01    3.420e-01
    1        2016-07-29T16:15:55  8.442e+05    5.943e+01
    2        2016-07-29T16:15:55  2.647e+01    3.328e-01
    3        2016-07-29T16:15:56  2.636e+01    3.321e-01
    4        2016-07-29T16:15:56  2.569e+01    3.279e-01
    5        2016-07-29T16:15:56  2.304e+01    3.105e-01
    6        2016-07-29T16:15:56  3.820e+02    1.264e+00
    7        2016-07-29T16:15:56  2.213e+01    3.043e-01
    8        2016-07-29T16:15:56  5.358e+02    1.497e+00
    9        2016-07-29T16:15:56  2.198e+01    3.033e-01
   10        2016-07-29T16:15:57  2.173e+01    3.015e-01
   11        2016-07-29T16:15:57  2.122e+01    2.979e-01
   12        2016-07-29T16:15:57  1.969e+01    2.870e-01
   13        2016-07-29T16:15:57  1.695e+01    2.663e-01
   14        2016-07-29T16:15:57  1.177e+01    2.219e-01
   15        2016-07-29T16:15:57  3.277e+00    1.171e-01
   16        2016-07-29T16:15:57  1.767e+02    8.599e-01
   17        2016-07-29T16:15:58  2.086e+00    9.343e-02
   18        2016-07-29T16:15:58  1.704e+00    8.443e-02
   19        2016-07-29T16:15:58  1.512e+00    7.954e-02
   20        2016-07-29T16:15:58  1.151e+00    6.940e-02
   21        2016-07-29T16:15:58  9.403e-01    6.272e-02
   22        2016-07-29T16:15:58  8.683e-01    6.027e-02
   23        2016-07-29T16:15:58  8.149e-01    5.839e-02
   24        2016-07-29T16:15:58  7.252e-01    5.508e-02
   25        2016-07-29T16:15:59  6.135e-01    5.067e-02
   26        2016-07-29T16:15:59  5.765e-01    4.912e-02
   27        2016-07-29T16:15:59  5.234e-01    4.680e-02
   28        2016-07-29T16:15:59  4.682e-01    4.426e-02
   29        2016-07-29T16:15:59  4.314e-01    4.249e-02
   30        2016-07-29T16:15:59  4.192e-01    4.188e-02
   31        2016-07-29T16:15:59  4.106e-01    4.145e-02
   32        2016-07-29T16:15:59  4.055e-01    4.119e-02
   33        2016-07-29T16:16:00  3.954e-01    4.068e-02
   34        2016-07-29T16:16:00  3.919e-01    4.049e-02
   35        2016-07-29T16:16:00  3.843e-01    4.010e-02
   36        2016-07-29T16:16:00  4.420e-01    4.301e-02
   37        2016-07-29T16:16:00  3.744e-01    3.958e-02
   38        2016-07-29T16:16:00  3.607e-01    3.885e-02
   39        2016-07-29T16:16:01  3.535e-01    3.846e-02
   40        2016-07-29T16:16:01  3.544e-01    3.851e-02
   41        2016-07-29T16:16:01  3.516e-01    3.836e-02
   42        2016-07-29T16:16:01  3.490e-01    3.821e-02
   43        2016-07-29T16:16:01  3.443e-01    3.795e-02
   44        2016-07-29T16:16:01  3.360e-01    3.750e-02
   45        2016-07-29T16:16:01  3.244e-01    3.684e-02
   46        2016-07-29T16:16:01  3.187e-01    3.651e-02
   47        2016-07-29T16:16:02  3.149e-01    3.630e-02
   48        2016-07-29T16:16:02  3.104e-01    3.604e-02
   49        2016-07-29T16:16:02  3.054e-01    3.575e-02
   50        2016-07-29T16:16:02  3.024e-01    3.557e-02
   51        2016-07-29T16:16:02  2.986e-01    3.535e-02
   52        2016-07-29T16:16:02  2.927e-01    3.500e-02
   53        2016-07-29T16:16:02  2.837e-01    3.445e-02
   54        2016-07-29T16:16:03  2.681e-01    3.349e-02
   55        2016-07-29T16:16:03  2.429e-01    3.188e-02
   56        2016-07-29T16:16:03  2.565e-01    3.276e-02
   57        2016-07-29T16:16:03  2.304e-01    3.105e-02
   58        2016-07-29T16:16:03  2.239e-01    3.061e-02
   59        2016-07-29T16:16:03  2.212e-01    3.042e-02
   60        2016-07-29T16:16:03  2.095e-01    2.961e-02
   61        2016-07-29T16:16:03  1.979e-01    2.877e-02
